"","gene","logFC","p"
"309","Rv0444c",-1.09775661627108,4.83544874003536e-07
"1603","Rv0445c",-0.698126481488673,0.000341843813982932
"768","Rv0446c",-0.813853191098467,7.98045986128979e-06
"1690","Rv0447c",-0.767545182331655,0.000473883273788307
"998","Rv0449c",1.35530198053826,2.2396695320881e-05
"80","Rv0450c",1.49127083972364,1.19536937333737e-08
"110","Rv0451c",2.00061957495168,2.69259967904855e-08
"185","Rv0452",2.32974392562624,1.30580393643374e-07
"897","Rv0455c",1.12978416860151,1.5293972879977e-05
"1375","Rv0456c",1.08989943917176,0.000125168578607571
"221","Rv0458",1.64246067796793,2.1504102915199e-07
"391","Rv0459",1.79870128343944,7.77061152968442e-07
"2360","Rv0461",-0.290125914493958,0.00761772562968532
"745","Rv0462",-0.632374667649872,7.31530783321845e-06
"1953","Rv0463",-1.00072509625384,0.00146666751360269
"1827","Rv0464c",-0.480812139961576,0.000866204975854242
"1725","Rv0466",-0.353379054167902,0.000533503953051908
"358","Rv0467",1.51421942752066,6.51944825775314e-07
"2112","Rv0468",0.318854634260048,0.00281460224539219
"2289","Rv0469",-0.358177799890991,0.00545329594163509
"1553","Rv0470c",0.391631891611715,0.000279427650843668
"1307","Rv0472c",-0.508062753903386,9.55947953019321e-05
"1546","Rv0473",-0.471184036625496,0.000276413642850491
"1948","Rv0475",0.44932651296015,0.00140371580545467
"654","Rv0476",0.827530251758999,4.22490979132573e-06
"1691","Rv0478",-0.480791645443891,0.000474803599995268
"1512","Rv0479c",0.477482040165951,0.00022255069699691
"1677","Rv0480c",-0.669914042583969,0.000449097713397249
"899","Rv0483",-0.751805015471689,1.5440781039425e-05
"1921","Rv0487",0.33816532240528,0.00125695365836384
"2200","Rv0488",-0.900571454493274,0.00401481044540299
"2345","Rv0489",-0.269710509222897,0.00701585149973842
"466","Rv0490",-0.836833280916868,1.20644954661255e-06
"850","Rv0491",-0.877495669179477,1.27994567706841e-05
"2713","Rv0492A",0.844572620776523,0.0312860248389091
"1399","Rv0492c",1.03686064035761,0.000135995413505072
"2469","Rv0493c",0.394170783897404,0.0119720095307525
"2220","Rv0494",-0.891224106656834,0.00422605252601471
"2472","Rv0496",-0.253058387537885,0.0121179837800339
"1591","Rv0497",-0.536567422498792,0.000335880711726107
"764","Rv0499",-1.04752916882682,7.8889693970978e-06
"2280","Rv0500",-0.271261344534825,0.00519640918364299
"1354","Rv0502",0.470888228991612,0.000114798344525363
"1739","Rv0503c",0.474264031712123,0.000569314207699649
"2133","Rv0505c",0.340187050826455,0.00310129485175113
"1521","Rv0506",-0.58944794661434,0.000227677278253961
"1443","Rv0507",-0.545470353873192,0.000161414187148529
"1830","Rv0508",1.53063195081418,0.000872189444265673
"699","Rv0509",1.43824015205868,5.13532008857565e-06
"2597","Rv0510",0.304999544805245,0.0192343331343522
"1374","Rv0511",-0.429489355211988,0.000125055027426962
"174","Rv0512",-1.2489043937497,1.21602047542206e-07
"202","Rv0513",-1.12555033912681,1.67031237946591e-07
"485","Rv0514",-1.31711165063713,1.45051563552334e-06
