"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","DE_index"
"Rv1672c",0.696073403286624,6.36555104228268,7.33108422196441,3.48655699232134e-05,0.000101868328075122,1.60393237303647,"Rv1672c",52
"Rv2808",-0.949227795072236,4.69883878195227,-7.32538111791561,3.5086758595416e-05,0.000102437506485715,1.94391143793758,"Rv2808",52
"Rv3678c",0.452133657632248,7.86679378937176,7.31572059780457,3.54649288594361e-05,0.000103463800722157,1.43096131020967,"Rv3678c",52
"Rv2802c",-0.63655999021593,5.36250846231436,-7.2991197565061,3.61252020871227e-05,0.000105310930708932,1.75720718537264,"Rv2802c",52
"Rv1435c",-0.464605059805875,9.2570211353794,-7.28857372711206,3.6551606031395e-05,0.000106424562869834,1.37863797758763,"Rv1435c",52
"Rv1977",0.616131100917126,5.96617814519007,7.28831757025579,3.65620311275709e-05,0.000106424562869834,1.61019344290182,"Rv1977",52
"Rv2092c",1.16429058585386,9.00586489072066,7.281904084549,3.68241068311379e-05,0.00010710712121746,1.36891543822952,"Rv2092c",52
"Rv2699c",0.637675564608263,5.53465989066191,7.2801609185807,3.68956915306827e-05,0.000107235007644941,1.66142871096369,"Rv2699c",52
"Rv2501c",0.531277909877875,6.35190736948273,7.26716358517175,3.74342439125294e-05,0.00010871889985965,1.51814840106297,"Rv2501c",52
"Rv1719",-0.804920988042191,4.61955738884648,-7.26417681348638,3.75592092674445e-05,0.000108962121516547,1.87837372376231,"Rv1719",52
"Rv0693",1.49221610074005,10.3695823006678,7.26382132569462,3.75741129823994e-05,0.000108962121516547,1.37258466203505,"Rv0693",52
"Rv1951c",1.03688915252799,3.33488189494678,7.26236838742311,3.76350939941713e-05,0.000109057514909976,2.12012152156652,"Rv1951c",52
"Rv2870c",0.467567360007109,7.55239675937095,7.25465614155095,3.79605939387397e-05,0.000109918707132085,1.3821476473352,"Rv2870c",52
"Rv0665",-1.8161844705435,1.34730225602254,-7.25031772063584,3.8145046759224e-05,0.000110319526323196,2.58465505765199,"Rv0665",52
"Rv1058",0.561147290210704,5.70408846455851,7.25006458392327,3.81558392614092e-05,0.000110319526323196,1.595623753364,"Rv1058",52
"Rv3721c",-0.504207473431796,6.88161913973413,-7.24810413273219,3.82395359907751e-05,0.000110406871982489,1.44518505102857,"Rv3721c",52
"Rv0558",0.582106434350218,7.86326714623171,7.24802506017218,3.82429159970248e-05,0.000110406871982489,1.35151571280359,"Rv0558",52
"Rv2724c",0.615273821425026,7.06775929314053,7.24629835865986,3.83168061641778e-05,0.000110538007678679,1.41218381985744,"Rv2724c",52
"Rv3447c",1.60641007319372,3.72637767580115,7.24451149942899,3.83934344496112e-05,0.000110619377372855,1.99421839050102,"Rv3447c",52
"Rv3705c",0.799526021663968,5.55302290512291,7.24431227653012,3.84019883334042e-05,0.000110619377372855,1.61614298128275,"Rv3705c",52
"Rv1859",0.885841388384208,6.64581114158469,7.23031726301471,3.90081097235758e-05,0.000112282053414859,1.43659037859044,"Rv1859",52
"Rv1701",-0.917976447095164,5.78901566024274,-7.22727583705203,3.91412073202817e-05,0.000112581709647892,1.57249605243803,"Rv1701",52
"Rv3376",-0.598549520986277,8.30464566809337,-7.22129469197089,3.94043972043331e-05,0.000113250269110761,1.31210914320033,"Rv3376",52
"Rv1445c",-0.807983844672704,5.71832192625519,-7.22067046221943,3.94319762651943e-05,0.000113250269110761,1.61183376855199,"Rv1445c",52
"Rv0971c",0.898766973075696,4.17133382929458,7.21534505412917,3.96681146189264e-05,0.00011384426390635,1.86902298452874,"Rv0971c",52
"Rv0502",0.470888228991612,8.05500964635763,7.20724776225194,4.00301206508735e-05,0.000114798344525363,1.28939665047779,"Rv0502",52
"Rv0638",-0.491927330177129,8.63892467116377,-7.20569696613065,4.0099861962832e-05,0.000114913478968027,1.28061748248703,"Rv0638",52
"Rv2675c",0.561263147780367,5.94692598954154,7.19734071279862,4.04779389056412e-05,0.000115911384049119,1.49752631908958,"Rv2675c",52
"Rv3847",0.619482782599738,6.15352814059155,7.19180743308094,4.07304271228868e-05,0.000116548451376691,1.45797150985015,"Rv3847",52
"Rv1550",0.957531980510791,4.69065388353245,7.19030450651709,4.07993028478196e-05,0.00011665956771582,1.71418156932706,"Rv1550",52
"Rv1841c",-0.567545504124964,6.37943562361772,-7.1846578447591,4.10592126265947e-05,0.000117316352192103,1.43753726176138,"Rv1841c",52
"Rv3416",0.685383369000058,5.41384481120969,7.18029447536525,4.12612891634058e-05,0.000117807048398165,1.56502415520273,"Rv3416",52
"Rv2207",-0.441506082250712,7.20249919440253,-7.17448741684262,4.15319079705473e-05,0.000118492577993854,1.3196234429447,"Rv2207",52
"Rv2157c",0.582413287648504,7.0488521797436,7.1735497841314,4.15757842475304e-05,0.000118530668306285,1.32798471465155,"Rv2157c",52
"Rv2747",-1.06368354287969,3.88332822800395,-7.15758518495447,4.23306441996393e-05,0.000120594197672193,1.95148289257037,"Rv2747",52
"Rv3068c",0.734040544407616,5.78962137331612,7.15310712111113,4.25450536512236e-05,0.000121116160797435,1.45451549285884,"Rv3068c",52
"Rv0981",0.533881500754435,7.65892681470245,7.14835632123391,4.27738155069915e-05,0.000121678187262746,1.24158511344565,"Rv0981",52
"Rv2306A",1.29058706174471,3.35687240317263,7.14391824765617,4.29887295816065e-05,0.000122200027061038,1.97508807567403,"Rv2306A",52
"Rv1275",0.508285357404596,6.62087592280463,7.14034645537326,4.31625480799793e-05,0.000122604370295947,1.33041779631454,"Rv1275",52
"Rv2831",0.687473534076024,6.09383946811425,7.13831600572703,4.32616994600367e-05,0.000122796183481961,1.40245735803932,"Rv2831",52
"Rv1096",-0.588483965818961,6.56188676424314,-7.13635892050331,4.33575031064282e-05,0.000122978221009686,1.35273728163647,"Rv1096",52
